Vds1 (V) =	1.463183E-4		Vds2 (V) =	2.155597E-1		Vds3 (V) =	2.000196E+1		Vds4 (V) =	3.002171E+1		Vds5 (V) =	4.002334E+1		Vds6 (V) =	5.002138E+1		Vds7 (V) =	6.002221E+1		Vds8 (V) =	7.002332E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
-2.25433300E-5	-2.30064900E-10	-2.07719600E-9	-2.30747300E-5	4.14950300E-7	-5.03616700E-9	-2.09491300E-5	4.78811400E-7	-5.00469300E-9	-2.39857000E-5	5.82845900E-7	-5.22169300E-9	-2.13287100E-5	7.67287000E-7	-5.30644600E-9	-2.26192500E-5	1.03527900E-6	-5.42498100E-9	-2.27710700E-5	1.38315600E-6	-7.06195300E-9	-2.39097800E-5	8.87273500E-6	-1.43802900E-7
4.99972900E-1	-1.55640300E-10	-4.39927800E-11	4.99971800E-1	4.24998800E-7	-2.00399300E-9	4.99975000E-1	5.00870000E-7	-1.81320300E-9	4.99971400E-1	6.04892500E-7	-1.77203800E-9	4.99972000E-1	8.01211300E-7	-1.75654900E-9	4.99974800E-1	1.06585600E-6	-1.68217300E-9	4.99973100E-1	1.39624600E-6	-2.15623100E-9	4.99974000E-1	4.92892200E-6	-3.75214700E-9
1.00004100E+0	-2.28376400E-10	5.90136100E-11	1.00004100E+0	4.56076000E-7	-1.36645200E-9	1.00003900E+0	5.36825300E-7	-1.38031100E-9	1.00004000E+0	6.43525700E-7	-1.32009800E-9	1.00004100E+0	8.42218600E-7	-1.37917500E-9	1.00004100E+0	1.10678600E-6	-1.35009100E-9	1.00004200E+0	1.44729200E-6	-1.50202600E-9	9.99993000E-1	5.25389000E-6	-5.27361200E-9
1.50004000E+0	-1.87385800E-10	1.54134100E-10	1.50004000E+0	4.97302000E-7	-1.03296700E-9	1.50004000E+0	5.79625200E-7	-1.05940100E-9	1.50004000E+0	6.85896300E-7	-1.01380500E-9	1.50003900E+0	8.87207100E-7	-1.05625800E-9	1.50003900E+0	1.15372600E-6	-9.53516700E-10	1.50003900E+0	1.50129700E-6	-1.10757200E-9	1.50004000E+0	4.97775200E-6	-1.98513300E-9
1.99995400E+0	-1.99121600E-10	7.95006600E-11	1.99995700E+0	5.44576000E-7	-8.90425400E-10	1.99995600E+0	6.26474200E-7	-9.22084400E-10	1.99995500E+0	7.31491700E-7	-8.31537400E-10	1.99995900E+0	9.35241100E-7	-9.05270000E-10	1.99996000E+0	1.20494600E-6	-7.87418900E-10	1.99995800E+0	1.55603100E-6	-8.76147700E-10	1.99995800E+0	5.02614100E-6	-2.51557800E-9
2.49990700E+0	-2.58011100E-10	1.89424900E-10	2.49994300E+0	5.95336000E-7	-7.57918300E-10	2.49991800E+0	6.76876800E-7	-7.18041200E-10	2.49992500E+0	7.81615500E-7	-8.07868800E-10	2.49993300E+0	9.84285500E-7	-7.65605700E-10	2.49993100E+0	1.26420600E-6	-6.95584100E-10	2.49992200E+0	1.61907900E-6	-8.16314000E-10	2.49994500E+0	5.07831000E-6	-8.31689300E-10
3.00018800E+0	-3.20742200E-10	3.06127100E-10	3.00017800E+0	6.50109600E-7	-5.37552600E-10	3.00018200E+0	7.32951100E-7	-6.29576900E-10	3.00017900E+0	8.37804900E-7	-6.03862700E-10	3.00016800E+0	1.05683200E-6	-5.81519700E-10	3.00017200E+0	1.34012400E-6	-3.87322400E-10	3.00019600E+0	1.68750500E-6	-6.56047700E-10	3.00018400E+0	5.12750100E-6	-6.68658400E-10
3.50032600E+0	-1.86625900E-10	3.38653900E-10	3.50034000E+0	7.09540500E-7	-5.75649900E-10	3.50034500E+0	7.94929200E-7	-5.18617900E-10	3.50034000E+0	9.01744700E-7	-4.34016300E-10	3.50033200E+0	1.12492200E-6	-3.64070200E-10	3.50032400E+0	1.42736300E-6	-3.18360900E-10	3.50033500E+0	1.76354400E-6	-5.13391900E-10	3.50034500E+0	5.19618700E-6	-5.47322600E-10
4.00085600E+0	-2.74348100E-10	3.34034300E-10	4.00086500E+0	7.74971600E-7	-3.90389900E-10	4.00086500E+0	8.65121600E-7	-3.77059200E-10	4.00087200E+0	9.85829300E-7	-3.44529300E-10	4.00086600E+0	1.21109900E-6	-4.03720100E-10	4.00085900E+0	1.52493000E-6	-3.62858200E-10	4.00086600E+0	1.85234400E-6	-4.49921300E-10	4.00086800E+0	5.28386600E-6	-4.14248000E-10
4.50043300E+0	-3.08879900E-10	4.69631600E-10	4.50043000E+0	8.50369600E-7	-2.58602200E-10	4.50045500E+0	9.45505600E-7	-2.91246100E-10	4.50043800E+0	1.07439600E-6	-2.67047200E-10	4.50044300E+0	1.32237200E-6	-1.94261100E-10	4.50044300E+0	1.62804100E-6	-3.07264900E-10	4.50043600E+0	1.96147400E-6	-1.96646900E-10	4.50044000E+0	5.38578700E-6	-2.73409300E-10
