Vgs1 (V) =	-2.064548E-5	Vgs2 (V) =	4.999889E+0	Vgs3 (V) =	1.000030E+1	Vgs4 (V) =	1.500037E+1	Vgs5 (V) =	1.999959E+1	Vgs6 (V) =	2.499847E+1	Vgs7 (V) =	3.000044E+1	Vgs8 (V) =	3.500514E+1	Vgs9 (V) =	4.000999E+1	
Igs1 (A) =	-1.947870E-9	Igs2 (A) =	1.285369E-10	Igs3 (A) =	4.341896E-10	Igs4 (A) =	4.981444E-10	Igs5 (A) =	6.987573E-10	Igs6 (A) =	5.241204E-10	Igs7 (A) =	-1.146203E-10	Igs8 (A) =	5.747463E-10	Igs9 (A) =	4.977657E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
1.81034800E-2	4.90992400E-9	1.80105300E-2	1.45348200E-8	1.78583500E-2	2.76544500E-8	1.80274200E-2	4.92690100E-8	1.80020600E-2	7.10827800E-8	1.79005600E-2	9.79641500E-8	1.80189800E-2	1.23317800E-7	1.84583900E-2	1.59336400E-7	1.80443100E-2	1.98133800E-7
5.17974900E-1	9.08893900E-8	5.18227600E-1	2.87333800E-7	5.18769300E-1	5.16854600E-7	5.19631100E-1	8.91987200E-7	5.18051400E-1	1.29293100E-6	5.18033700E-1	1.77270800E-6	5.18135400E-1	2.29043700E-6	5.18211000E-1	2.92956600E-6	5.18337900E-1	3.64353300E-6
1.01794000E+0	1.62723000E-7	1.01858100E+0	5.43340000E-7	1.01781300E+0	9.78854000E-7	1.01790500E+0	1.69601300E-6	1.01785500E+0	2.46831500E-6	1.01805100E+0	3.39763300E-6	1.01818600E+0	4.43093700E-6	1.01836100E+0	5.69437000E-6	1.01847800E+0	7.11114800E-6
1.51731800E+0	2.24107200E-7	1.51863300E+0	7.82721000E-7	1.51754800E+0	1.41643900E-6	1.51768300E+0	2.46703800E-6	1.51798800E+0	3.61277600E-6	1.51795400E+0	4.98764700E-6	1.51840300E+0	6.54356200E-6	1.51872300E+0	8.44562100E-6	1.51755100E+0	1.05416500E-5
2.01744700E+0	2.76714000E-7	2.01714400E+0	1.00100100E-6	2.01724400E+0	1.83572900E-6	2.01747900E+0	3.21581100E-6	2.01763200E+0	4.73533500E-6	2.01788500E+0	6.54878900E-6	2.01812700E+0	8.62946800E-6	2.01728300E+0	1.11179000E-5	2.01704700E+0	1.39887100E-5
2.52052600E+0	3.22287700E-7	2.52010600E+0	1.21341400E-6	2.52016000E+0	2.24345200E-6	2.52048500E+0	3.95010600E-6	2.52080600E+0	5.84231800E-6	2.52114700E+0	8.09463700E-6	2.51998800E+0	1.06485000E-5	2.52002600E+0	1.38264200E-5	2.52003000E+0	1.74423700E-5
3.01984900E+0	3.61040400E-7	3.01976600E+0	1.41421300E-6	3.01985400E+0	2.63641300E-6	3.02033300E+0	4.66310600E-6	3.02058500E+0	6.92041700E-6	3.02087100E+0	9.60824500E-6	3.01957600E+0	1.26737000E-5	3.01988100E+0	1.64946600E-5	3.01981600E+0	2.08520900E-5
3.51998300E+0	3.94246700E-7	3.51957000E+0	1.60551900E-6	3.51956200E+0	3.01738100E-6	3.52033000E+0	5.36029300E-6	3.52069700E+0	7.97891300E-6	3.51921700E+0	1.10421500E-5	3.51957900E+0	1.46786000E-5	3.51973700E+0	1.91402000E-5	3.51960900E+0	2.42421300E-5
4.01987100E+0	4.22708600E-7	4.01936100E+0	1.78560400E-6	4.01988600E+0	3.38784400E-6	4.02008300E+0	6.04125700E-6	4.02056800E+0	9.01795900E-6	4.01941000E+0	1.25081700E-5	4.01939800E+0	1.66609900E-5	4.01947400E+0	2.17590700E-5	4.01957500E+0	2.76041600E-5
4.51940500E+0	4.46670400E-7	4.51923300E+0	1.95390800E-6	4.51951100E+0	3.74923200E-6	4.51992100E+0	6.69967000E-6	4.52016800E+0	1.00402100E-5	4.51899900E+0	1.39570300E-5	4.51895900E+0	1.86216400E-5	4.51922100E+0	2.43585100E-5	4.51914600E+0	3.09429100E-5
5.01896500E+0	4.65722400E-7	5.01897200E+0	2.11033100E-6	5.01912500E+0	4.10098500E-6	5.01979900E+0	7.30231500E-6	5.01839600E+0	1.09866400E-5	5.01868100E+0	1.53887900E-5	5.01883700E+0	2.05641100E-5	5.01910400E+0	2.69336300E-5	5.01879500E+0	3.42582500E-5
5.52221100E+0	4.80976400E-7	5.52165200E+0	2.25328600E-6	5.52204500E+0	4.44606800E-6	5.52290500E+0	7.82713400E-6	5.52176800E+0	1.19764500E-5	5.52168200E+0	1.68124700E-5	5.52178600E+0	2.24993400E-5	5.52193700E+0	2.95030000E-5	5.52197200E+0	3.75709600E-5
6.02137200E+0	4.92742200E-7	6.02091700E+0	2.38204700E-6	6.02111700E+0	4.78005300E-6	6.02185700E+0	8.31555400E-6	6.02068300E+0	1.29422200E-5	6.02056000E+0	1.82086900E-5	6.02077500E+0	2.43994900E-5	6.02106000E+0	3.20330500E-5	6.02067100E+0	4.08324600E-5
6.52132200E+0	5.03968000E-7	6.52065500E+0	2.49784100E-6	6.52113100E+0	5.10576300E-6	6.52203800E+0	8.80708100E-6	6.52054100E+0	1.38865700E-5	6.52039200E+0	1.95840500E-5	6.52051900E+0	2.62869800E-5	6.52095200E+0	3.45507400E-5	6.52098800E+0	4.40809900E-5
7.02081700E+0	5.13236000E-7	7.02043400E+0	2.60084400E-6	7.02098200E+0	5.42106400E-6	7.02163700E+0	9.35298400E-6	7.02031300E+0	1.48055100E-5	7.02037600E+0	2.08980000E-5	7.02051100E+0	2.81536700E-5	7.02053500E+0	3.70423500E-5	7.02061900E+0	4.73078400E-5
7.52069800E+0	5.21349800E-7	7.52025500E+0	2.69513400E-6	7.52059600E+0	5.72432700E-6	7.52120600E+0	9.89147400E-6	7.52004200E+0	1.56930300E-5	7.51996600E+0	2.21899200E-5	7.52022600E+0	3.00039100E-5	7.52049400E+0	3.95173400E-5	7.52036500E+0	5.05125800E-5
8.02033500E+0	5.28650100E-7	8.02002000E+0	2.77953800E-6	8.02035500E+0	6.01320800E-6	8.02111400E+0	1.03526000E-5	8.01981800E+0	1.65474800E-5	8.01971300E+0	2.34667700E-5	8.01987600E+0	3.18340900E-5	8.02017200E+0	4.19706200E-5	8.02021400E+0	5.36979500E-5
8.52321100E+0	5.34858300E-7	8.52276700E+0	2.85703600E-6	8.52348500E+0	6.28512000E-6	8.52265900E+0	1.01913000E-5	8.52279000E+0	1.73719500E-5	8.52291000E+0	2.46907100E-5	8.52264800E+0	3.36406400E-5	8.52306600E+0	4.44121100E-5	8.52315000E+0	5.68771100E-5
9.02313600E+0	5.40325900E-7	9.02289700E+0	2.92572300E-6	9.02366400E+0	6.53690100E-6	9.02230700E+0	1.06481000E-5	9.02260900E+0	1.81469100E-5	9.02262400E+0	2.59000700E-5	9.02275400E+0	3.54068100E-5	9.02316900E+0	4.67959300E-5	9.02314600E+0	6.00057300E-5
9.52238500E+0	5.45260400E-7	9.52202400E+0	2.98822000E-6	9.52286800E+0	6.76709900E-6	9.52191400E+0	1.10054600E-5	9.52222300E+0	1.88903900E-5	9.52223800E+0	2.70540000E-5	9.52228800E+0	3.71234100E-5	9.52272200E+0	4.91333200E-5	9.52276800E+0	6.30918600E-5
1.00222900E+1	5.49321200E-7	1.00222000E+1	3.04481000E-6	1.00226300E+1	6.97934900E-6	1.00218500E+1	1.13456100E-5	1.00219400E+1	1.95991400E-5	1.00221100E+1	2.81380200E-5	1.00221200E+1	3.87910600E-5	1.00224600E+1	5.14127400E-5	1.00226800E+1	6.61270100E-5
1.05221700E+1	5.53918400E-7	1.05218100E+1	3.09748500E-6	1.05225400E+1	7.17533600E-6	1.05216400E+1	1.17041600E-5	1.05215700E+1	2.02854100E-5	1.05218600E+1	2.91905100E-5	1.05219500E+1	4.04080200E-5	1.05223000E+1	5.36414700E-5	1.05225600E+1	6.90938600E-5
1.10218100E+1	5.57843700E-7	1.10215100E+1	3.14511300E-6	1.10222200E+1	7.35257100E-6	1.10211600E+1	1.19592000E-5	1.10212700E+1	2.09453300E-5	1.10213900E+1	3.02245800E-5	1.10216300E+1	4.19638800E-5	1.10217400E+1	5.57967200E-5	1.10217200E+1	7.19997300E-5
1.15251600E+1	5.61446300E-7	1.15246100E+1	3.19034500E-6	1.15252500E+1	7.51536000E-6	1.15245000E+1	1.22694400E-5	1.15247200E+1	2.15546800E-5	1.15246600E+1	3.12455700E-5	1.15250300E+1	4.34867700E-5	1.15249700E+1	5.79100500E-5	1.15254800E+1	7.48431400E-5
1.20245800E+1	5.64601000E-7	1.20244100E+1	3.23029300E-6	1.20250500E+1	7.66232100E-6	1.20241800E+1	1.26630400E-5	1.20241400E+1	2.21065300E-5	1.20241300E+1	3.22304800E-5	1.20246600E+1	4.49583700E-5	1.20249400E+1	5.99627600E-5	1.20248500E+1	7.76045900E-5
1.25242000E+1	5.67661300E-7	1.25242300E+1	3.26556400E-6	1.25248400E+1	7.79519400E-6	1.25238000E+1	1.28583000E-5	1.25239600E+1	2.26421300E-5	1.25243100E+1	3.32011200E-5	1.25242700E+1	4.63859400E-5	1.25245400E+1	6.19444300E-5	1.25248100E+1	8.02758300E-5
1.30239500E+1	5.70754800E-7	1.30236500E+1	3.29641900E-6	1.30243700E+1	7.91279800E-6	1.30234300E+1	1.30260400E-5	1.30234800E+1	2.31750500E-5	1.30238000E+1	3.41490800E-5	1.30237500E+1	4.77664500E-5	1.30242100E+1	6.38759900E-5	1.30245000E+1	8.29053900E-5
1.35233500E+1	5.73153400E-7	1.35230100E+1	3.32329800E-6	1.35237100E+1	8.02036900E-6	1.35227200E+1	1.33073300E-5	1.35228200E+1	2.36490600E-5	1.35230800E+1	3.50570800E-5	1.35233400E+1	4.91014800E-5	1.35237200E+1	6.57564200E-5	1.35238500E+1	8.54862100E-5
