Vgs1 (V) =	-8.878744E-6	Vgs2 (V) =	2.110000E+1	Vgs3 (V) =	1.000043E+1	Vgs4 (V) =	1.500048E+1	Vgs5 (V) =	1.999972E+1	Vgs6 (V) =	2.499975E+1	Vgs7 (V) =	3.000160E+1	Vgs8 (V) =	3.500644E+1	Vgs9 (V) =	4.001132E+1	
Igs1 (A) =	-2.037970E-9	Igs2 (A) =	-4.833737E-7	Igs3 (A) =	-9.679181E-8	Igs4 (A) =	1.776112E-10	Igs5 (A) =	4.647484E-10	Igs6 (A) =	4.083658E-10	Igs7 (A) =	-1.755971E-11	Igs8 (A) =	5.147313E-10	Igs9 (A) =	3.746271E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
1.79177700E-2	2.81266700E-9	1.72754200E-2	-8.63125100E-10	1.76220600E-2	2.80976000E-9	1.78247900E-2	9.44920000E-9	1.78501500E-2	1.85358900E-8	1.80191500E-2	3.03633000E-8	1.79937800E-2	4.46657200E-8	1.80445100E-2	6.18173100E-8	1.80022500E-2	8.35073500E-8
5.17783500E-1	6.40166400E-8	5.17698800E-1	3.29851200E-8	5.17825500E-1	1.12439400E-7	5.17994300E-1	2.31336500E-7	5.18383300E-1	3.91984200E-7	5.18924200E-1	6.06666800E-7	5.19067000E-1	8.59849900E-7	5.18163100E-1	1.19849200E-6	5.17960300E-1	1.60433300E-6
1.01750600E+0	1.24292300E-7	1.01755600E+0	6.36650100E-8	1.01768300E+0	2.23097700E-7	1.01810600E+0	4.62167200E-7	1.01850200E+0	7.78322700E-7	1.01753900E+0	1.24920700E-6	1.01763100E+0	1.75781400E-6	1.01783400E+0	2.33829200E-6	1.01779200E+0	3.12912300E-6
1.51736300E+0	1.92538400E-7	1.51701600E+0	9.46193400E-8	1.51766700E+0	3.34397000E-7	1.51807100E+0	6.94524800E-7	1.51765800E+0	1.20559900E-6	1.51741100E+0	1.86039000E-6	1.51765800E+0	2.61885800E-6	1.51765700E+0	3.47923800E-6	1.51788500E+0	4.65586700E-6
2.01712300E+0	2.69098200E-7	2.01678900E+0	1.25331400E-7	2.01746400E+0	4.44625200E-7	2.01389900E+0	9.21876900E-7	2.01708900E+0	1.59729500E-6	2.01726100E+0	2.46491000E-6	2.01728700E+0	3.47237300E-6	2.01749600E+0	4.61583200E-6	2.01791100E+0	6.17624100E-6
2.52022900E+0	3.55082600E-7	2.51986400E+0	1.55553400E-7	2.52053200E+0	5.52888000E-7	2.51987100E+0	1.16130400E-6	2.52005800E+0	1.98361600E-6	2.52039700E+0	3.06249500E-6	2.52066800E+0	4.31754200E-6	2.52070100E+0	5.75170000E-6	2.52086900E+0	7.69151000E-6
3.01988600E+0	4.50308800E-7	3.01942700E+0	1.84600300E-7	3.02029100E+0	6.57190800E-7	3.01946100E+0	1.37792800E-6	3.01985200E+0	2.35863700E-6	3.01982100E+0	3.64234200E-6	3.01981400E+0	5.14275100E-6	3.02054700E+0	6.86476000E-6	3.02055500E+0	9.17521300E-6
3.51992100E+0	5.54992900E-7	3.51923100E+0	2.13037700E-7	3.52028900E+0	7.58445300E-7	3.51937800E+0	1.58784700E-6	3.51968200E+0	2.72357000E-6	3.51978900E+0	4.20934200E-6	3.52019500E+0	5.95259800E-6	3.52044900E+0	7.95895000E-6	3.51978400E+0	1.06243500E-5
4.02024300E+0	6.69281100E-7	4.01927900E+0	2.40679500E-7	4.02024600E+0	8.56429300E-7	4.01933200E+0	1.79118600E-6	4.01938400E+0	3.07827100E-6	4.01978400E+0	4.76310200E-6	4.01999900E+0	6.74644800E-6	4.02051100E+0	9.03229400E-6	4.01915500E+0	1.20550200E-5
4.51966800E+0	7.93139200E-7	4.51888100E+0	2.67296000E-7	4.51872800E+0	9.52685700E-7	4.51888600E+0	1.98869100E-6	4.51907500E+0	3.42274500E-6	4.51935300E+0	5.30531800E-6	4.51998900E+0	7.52537400E-6	4.52016900E+0	1.00866300E-5	4.51857400E+0	1.34645600E-5
4.99841500E+0	9.23789900E-7	5.01867600E+0	2.93392200E-7	5.01846900E+0	1.04431700E-6	5.01879600E+0	2.18023700E-6	5.01899800E+0	3.75939900E-6	5.01935200E+0	5.83648200E-6	5.01990800E+0	8.29066200E-6	5.01883800E+0	1.10947300E-5	5.01857900E+0	1.48551600E-5
5.52145300E+0	1.09189700E-6	5.52147500E+0	3.19231600E-7	5.52146900E+0	1.13264800E-6	5.52161800E+0	2.36725500E-6	5.52187400E+0	4.08939100E-6	5.52222600E+0	6.35983400E-6	5.52275000E+0	9.04699600E-6	5.52153700E+0	1.21162500E-5	5.52159900E+0	1.62342000E-5
6.02047900E+0	1.20694000E-6	6.02071900E+0	3.44232000E-7	6.02043200E+0	1.21729800E-6	6.02040000E+0	2.54804400E-6	6.02109500E+0	4.40939000E-6	6.02151600E+0	6.86917000E-6	6.02202200E+0	9.78445300E-6	6.02041900E+0	1.31144000E-5	6.02056500E+0	1.75838400E-5
6.52044900E+0	1.36495600E-6	6.52062700E+0	3.69019700E-7	6.52042400E+0	1.29948900E-6	6.52071500E+0	2.72424300E-6	6.52111100E+0	4.72262900E-6	6.52133000E+0	7.36914100E-6	6.48317500E+0	1.04539100E-5	6.52072000E+0	1.40997900E-5	6.52047200E+0	1.89179600E-5
7.02005500E+0	1.53726600E-6	7.02020200E+0	3.93555000E-7	7.01982500E+0	1.37903700E-6	7.02032700E+0	2.89528700E-6	7.02085600E+0	5.02849600E-6	7.02107200E+0	7.85965700E-6	7.02008700E+0	1.11868200E-5	7.02011700E+0	1.50700300E-5	7.02006300E+0	2.02344600E-5
7.51983600E+0	1.71633900E-6	7.52019900E+0	4.17998000E-7	7.51968200E+0	1.45660300E-6	7.52007200E+0	3.06217300E-6	7.52050400E+0	5.32773700E-6	7.52083800E+0	8.34117800E-6	7.51991000E+0	1.18846300E-5	7.51997500E+0	1.60276600E-5	7.51992900E+0	2.15345800E-5
8.01949600E+0	1.90320800E-6	8.01964800E+0	4.41942300E-7	8.01951800E+0	1.53184800E-6	8.01961900E+0	3.22479100E-6	8.02028700E+0	5.62064500E-6	8.02060500E+0	8.81368700E-6	8.01958100E+0	1.25732800E-5	8.01961400E+0	1.69709000E-5	8.01948300E+0	2.28190100E-5
8.52257500E+0	2.09959000E-6	8.52288800E+0	4.65657700E-7	8.52269600E+0	1.60625000E-6	8.52292400E+0	3.38431000E-6	8.52339500E+0	5.90962200E-6	8.52383600E+0	9.28100900E-6	8.52264300E+0	1.32557500E-5	8.52266400E+0	1.79087200E-5	8.52248900E+0	2.40956500E-5
9.02249300E+0	2.30282400E-6	9.02264200E+0	4.88245000E-7	9.02253900E+0	1.67819800E-6	9.02266800E+0	3.53938400E-6	9.02342900E+0	6.19074500E-6	9.02381900E+0	9.73736100E-6	9.02236700E+0	1.39241300E-5	9.02250000E+0	1.88277400E-5	9.02277300E+0	2.53493800E-5
9.52204900E+0	2.51362800E-6	9.52244400E+0	5.10486800E-7	9.52217700E+0	1.74804300E-6	9.52240800E+0	3.69125200E-6	9.52284500E+0	6.46650400E-6	9.52335500E+0	1.01860600E-5	9.52191100E+0	1.45824500E-5	9.52220500E+0	1.97348300E-5	9.52211200E+0	2.65879600E-5
1.00214500E+1	2.73571100E-6	1.00224100E+1	5.31084100E-7	1.00217500E+1	1.81557800E-6	1.00220200E+1	3.83962400E-6	1.00227300E+1	6.73703900E-6	1.00218000E+1	1.05913800E-5	1.00218300E+1	1.52322000E-5	1.00218600E+1	2.06302200E-5	1.00219400E+1	2.78129200E-5
1.05215300E+1	2.95983600E-6	1.05219600E+1	5.49902600E-7	1.05215700E+1	1.88036000E-6	1.05218500E+1	3.98510400E-6	1.05225400E+1	7.00228900E-6	1.05215900E+1	1.10206000E-5	1.05216500E+1	1.58724200E-5	1.05216600E+1	2.15164300E-5	1.05217500E+1	2.90255200E-5
1.10212900E+1	3.20510800E-6	1.10217200E+1	5.65682100E-7	1.10214500E+1	1.94164200E-6	1.10216800E+1	4.12713200E-6	1.10220600E+1	7.26228100E-6	1.10209400E+1	1.14428800E-5	1.10213100E+1	1.65023700E-5	1.10211500E+1	2.23905300E-5	1.10214000E+1	3.02244800E-5
