Vds1 (V) =	1.412507E-4		Vds2 (V) =	4.924248E-1		Vds3 (V) =	2.000190E+1		Vds4 (V) =	3.002063E+1		Vds5 (V) =	4.002377E+1		Vds6 (V) =	5.002155E+1		Vds7 (V) =	6.002262E+1		Vds8 (V) =	7.002373E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
-1.10043400E-5	-2.67340100E-10	-2.09992200E-9	-8.72691500E-6	1.42854900E-7	-7.60256900E-9	-7.28454900E-6	1.14350100E-7	-7.70739000E-9	-9.94154800E-6	1.16661400E-7	-7.62047900E-9	-8.34733900E-6	1.18616300E-7	-7.64505800E-9	-7.74002200E-6	1.26203200E-7	-7.53319200E-9	1.29209300E-4	2.06595600E-7	-4.89093900E-8	2.33895100E-4	4.14570000E-6	-2.49289900E-7
4.99985900E-1	-2.06761500E-10	-5.98986800E-11	4.99983800E-1	1.18279800E-7	-2.72898500E-9	4.99985300E-1	1.05138000E-7	-2.25079800E-9	4.99985200E-1	1.05524700E-7	-2.23292400E-9	4.99985100E-1	1.07221100E-7	-2.31813300E-9	4.99986100E-1	1.11982500E-7	-2.42333500E-9	4.99985900E-1	1.28639400E-7	-3.53288900E-9	5.00328200E-1	1.18499400E-6	-2.67499900E-8
1.00005300E+0	-2.60121300E-10	9.71462000E-11	1.00005300E+0	1.24611000E-7	-1.57220200E-9	1.00005400E+0	1.15692200E-7	-1.35013300E-9	1.00005300E+0	1.15821900E-7	-1.37270400E-9	1.00005100E+0	1.16893700E-7	-1.41803500E-9	1.00005100E+0	1.21181500E-7	-1.46847600E-9	1.00005200E+0	1.33988000E-7	-2.02691000E-9	1.00024900E+0	3.28165700E-6	-1.26454000E-7
1.50004900E+0	-2.47414500E-10	1.45690200E-10	1.50005300E+0	1.39213900E-7	-1.08939800E-9	1.50005400E+0	1.30205200E-7	-1.02043700E-9	1.50005300E+0	1.29896300E-7	-1.12757100E-9	1.50005200E+0	1.31481900E-7	-1.11530200E-9	1.50005100E+0	1.36482200E-7	-1.03626600E-9	1.50005200E+0	1.61733600E-7	-1.73262100E-9	1.50005100E+0	2.94275100E-7	-2.91071200E-7
1.99996900E+0	-1.67417100E-10	8.32872700E-11	1.99996700E+0	1.55966300E-7	-8.77401400E-10	1.99997000E+0	1.46380100E-7	-9.07167100E-10	1.99997000E+0	1.45820600E-7	-8.30631500E-10	1.99997300E+0	1.47806000E-7	-8.56460000E-10	1.99996800E+0	1.54240700E-7	-1.01933800E-9	1.99997000E+0	1.92524000E-7	-1.27874800E-9	1.99996300E+0	3.39139400E-7	-1.59492800E-8
2.50003100E+0	-3.17998100E-10	1.78898600E-10	2.50005300E+0	1.73747400E-7	-7.51521200E-10	2.50006200E+0	1.63427600E-7	-7.33305100E-10	2.50006200E+0	1.62837900E-7	-6.73016300E-10	2.50004100E+0	1.65109100E-7	-7.82725900E-10	2.50005300E+0	1.73767600E-7	-7.88899700E-10	2.50004700E+0	2.24850900E-7	-1.23413900E-9	2.50006000E+0	3.51691300E-7	-9.96809000E-9
3.00029700E+0	-3.21755200E-10	3.04954300E-10	3.00031100E+0	1.92346900E-7	-5.69100500E-10	3.00030500E+0	1.81827100E-7	-5.45999200E-10	3.00030200E+0	1.81099500E-7	-5.52134300E-10	3.00031400E+0	1.83591100E-7	-5.56451400E-10	3.00030800E+0	1.94442600E-7	-6.62222800E-10	3.00029100E+0	2.62523800E-7	-9.31934000E-10	3.00028500E+0	4.10010200E-7	-9.82452600E-9
3.50045400E+0	-2.64891600E-10	3.49332800E-10	3.50046400E+0	2.12445000E-7	-4.73402900E-10	3.50046300E+0	2.01746800E-7	-5.23012700E-10	3.50047900E+0	2.00920600E-7	-5.06160100E-10	3.50047000E+0	2.03476500E-7	-5.64782400E-10	3.50045800E+0	2.16935200E-7	-5.33199200E-10	3.50045800E+0	3.05013200E-7	-8.11242100E-10	3.50046100E+0	5.19053600E-7	-1.01540300E-8
4.00098300E+0	-3.11961300E-10	3.92916600E-10	4.00099100E+0	2.34054600E-7	-4.54316200E-10	4.00099100E+0	2.23713600E-7	-3.85354600E-10	4.00098800E+0	2.22588500E-7	-3.96753900E-10	4.00101800E+0	2.25306700E-7	-4.49128000E-10	4.00099800E+0	2.41378800E-7	-5.29942300E-10	4.00098300E+0	3.57036500E-7	-7.61744600E-10	4.00097600E+0	5.80354500E-7	-9.48316400E-9
4.50055400E+0	-3.52150000E-10	5.56685900E-10	4.50056600E+0	2.57726300E-7	-2.84127900E-10	4.50058600E+0	2.48270500E-7	-2.47810000E-10	4.50057500E+0	2.46907600E-7	-3.94594900E-10	4.50058200E+0	2.49589700E-7	-3.58618100E-10	4.50055600E+0	2.67979000E-7	-3.09273400E-10	4.50056000E+0	4.13577200E-7	-6.51771000E-10	4.50056200E+0	6.94594600E-7	-8.95082200E-9
